site,location,pop_type,date,time_start,time_end,surveyor_name,contact,method,quadrat_size_m2,n_flips,total_sample_area_m2,latitude,longitude,tidal_elev_ft_mllw,sample_id,percent_cover_pacific_shell,live_oly_count,dead_oly_count,live_pac_count,dead_pac_count,live_unid_count,dead_unid_count,pacific_shell_piece,notes
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,40,10,NA,NA,NA,29,NA,0,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,30,NA,0,NA,NA,NA,NA,NA,NA,"from lower aggregations, sandy with lots of hard shell clam"
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,31,NA,0,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,24,6,NA,NA,NA,32,NA,3,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-23,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,48,12,NA,NA,NA,33,NA,3,NA,NA,NA,NA,NA,NA,from lower aggregations
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,47.73625042,-122.6510262,NA,1,NA,15,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway, most of structure relic oyster shell"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,47.73627506,-122.6510248,NA,2,NA,19,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,3,0.75,47.73628231,-122.650965,NA,3,NA,14,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,3,0.75,47.73637391,-122.6508685,NA,4,NA,12,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,47.73638204,-122.6509962,NA,5,NA,33,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,1,0.25,47.73644771,-122.651177,NA,6,NA,13,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Legion Park,project,2020-06-25,NA,NA,"Brian, Gray, Hilary",NA,NA,0.25,2,0.5,47.73617443,-122.6512909,NA,7,NA,15,NA,NA,NA,NA,NA,NA,"Outcrops around MLLW, E shore near wooden walkway"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,4,1,-122.6496675,47.73560329,NA,1,NA,11,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,7,1.75,-122.6496488,47.73558755,NA,2,NA,10,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,3,0.75,-122.6496224,47.73557199,NA,3,NA,11,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,3,0.75,-122.6495886,47.73556379,NA,4,NA,12,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6495667,47.73554158,NA,5,NA,18,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,3,0.75,-122.649547,47.73552433,NA,6,NA,12,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6495161,47.73551441,NA,7,NA,11,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,4,1,-122.6495011,47.73549114,NA,8,NA,12,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.649469,47.73547587,NA,9,NA,14,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6494461,47.7354661,NA,10,NA,15,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6494128,47.73545829,NA,11,NA,12,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6493933,47.73543609,NA,12,NA,18,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,2,0.5,-122.6493691,47.73541695,NA,13,NA,11,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,9,2.25,-122.6493376,47.73540992,NA,14,NA,11,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,12,3,-122.6493094,47.73539787,NA,15,NA,8,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,10,2.5,-122.6492909,47.73537686,NA,16,NA,3,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,6,1.5,-122.6492701,47.73536277,NA,17,NA,2,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,8,2,-122.6492348,47.73535625,NA,18,NA,1,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,8,2,-122.6492109,47.73533676,NA,19,NA,0,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Reference Population,ref,2020-07-07,NA,NA,"Hilary, Jackelyn",NA,NA,0.25,4,1,-122.6491933,47.735317619999996,NA,20,NA,0,NA,NA,NA,NA,NA,NA,"reference population on SE shore of bay, near boardwalk, crossing city parcel line"
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,24,NA,0,NA,NA,NA,NA,NA,NA,Note for all quadrats: only the first five oysters measured; 'super boosted filtration with heavy mussel set' - Betsey
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,11,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,7,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,27,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,26,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,41,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,36,NA,5,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,50,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,47,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,drills
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,43,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,49,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,18,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,44,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,40,NA,1,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,48,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,39,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,6,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,38,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,45,NA,0,NA,NA,NA,NA,NA,NA,drills
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,16,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,33,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,19,NA,0,NA,NA,NA,NA,NA,NA,drills
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,9,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,14,NA,63,NA,NA,NA,NA,NA,NA,drills
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,35,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,20,NA,2,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,31,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,21,NA,2,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,28,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,29,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,37,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,10,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,17,NA,7,NA,NA,NA,NA,NA,NA,"drills, drill eggs"
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,30,NA,0,NA,NA,NA,NA,NA,NA,"drills, drill eggs"
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,22,NA,0,NA,NA,NA,NA,NA,NA,NA
Liberty Bay,Legion Park,project,2023-07-06,NA,NA,"Jessi Florendo, Hilary Hayford, Brian Allen, Betsy Peabody, Kari Inch, Josh O'Hara",kari@restorationfund.org,random points,0.25,1,0.25,NA,NA,NA,32,NA,58,NA,NA,NA,NA,NA,NA,"drills, drill eggs"
