height_mm,sample_id
2,1
2,2
3,3
3,4
3,5
4,6
4,7
4,8
5,9
5,10
6,11
6,12
6,13
6,14
7,15
9,16
9,17
9,18
9,19
10,20
10,21
10,22
11,23
11,24
11,25
11,26
11,27
11,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
13,37
13,38
13,39
13,40
13,41
14,42
14,43
14,44
14,45
15,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
15,56
15,57
16,58
16,59
16,60
16,61
16,62
17,63
17,64
17,65
17,66
17,67
17,68
17,69
17,70
17,71
18,72
18,73
18,74
18,75
18,76
18,77
19,78
19,79
19,80
19,81
19,82
19,83
19,84
19,85
19,86
19,87
19,88
20,89
20,90
20,91
20,92
20,93
20,94
20,95
20,96
20,97
20,98
20,99
20,100
20,101
20,102
21,103
21,104
21,105
21,106
21,107
21,108
21,109
21,110
21,111
21,112
21,113
22,114
22,115
22,116
22,117
22,118
22,119
22,120
22,121
22,122
22,123
22,124
22,125
23,126
23,127
23,128
23,129
23,130
23,131
23,132
23,133
23,134
23,135
24,136
24,137
24,138
24,139
24,140
24,141
24,142
24,143
24,144
24,145
25,146
25,147
25,148
25,149
25,150
25,151
25,152
25,153
25,154
25,155
25,156
25,157
25,158
25,159
25,160
26,161
26,162
26,163
26,164
26,165
26,166
26,167
26,168
26,169
26,170
26,171
26,172
26,173
26,174
26,175
27,176
27,177
27,178
27,179
27,180
27,181
27,182
27,183
27,184
27,185
27,186
27,187
27,188
27,189
28,190
28,191
28,192
28,193
28,194
28,195
28,196
28,197
28,198
28,199
28,200
28,201
28,202
29,203
29,204
29,205
29,206
29,207
29,208
29,209
29,210
29,211
29,212
29,213
29,214
29,215
29,216
29,217
29,218
29,219
29,220
29,221
29,222
30,223
30,224
30,225
30,226
30,227
30,228
30,229
30,230
30,231
30,232
30,233
30,234
30,235
30,236
30,237
30,238
30,239
30,240
30,241
30,242
30,243
30,244
30,245
30,246
30,247
30,248
31,249
31,250
31,251
31,252
31,253
31,254
31,255
31,256
31,257
31,258
31,259
31,260
31,261
31,262
31,263
31,264
31,265
31,266
31,267
32,268
32,269
32,270
32,271
32,272
32,273
32,274
32,275
32,276
32,277
32,278
32,279
32,280
32,281
32,282
32,283
32,284
33,285
33,286
33,287
33,288
33,289
33,290
33,291
33,292
33,293
33,294
33,295
33,296
33,297
33,298
34,299
34,300
34,301
34,302
34,303
34,304
34,305
34,306
34,307
34,308
34,309
34,310
34,311
34,312
34,313
34,314
34,315
34,316
34,317
34,318
34,319
34,320
34,321
35,322
35,323
35,324
35,325
35,326
35,327
35,328
35,329
35,330
35,331
35,332
35,333
35,334
35,335
35,336
35,337
35,338
35,339
35,340
35,341
35,342
35,343
35,344
35,345
35,346
36,347
36,348
36,349
36,350
36,351
36,352
36,353
36,354
36,355
36,356
36,357
36,358
36,359
36,360
36,361
36,362
36,363
36,364
36,365
36,366
36,367
36,368
37,369
37,370
37,371
37,372
37,373
37,374
37,375
37,376
37,377
37,378
37,379
37,380
37,381
37,382
37,383
37,384
37,385
37,386
37,387
37,388
37,389
38,390
38,391
38,392
38,393
38,394
38,395
38,396
38,397
38,398
38,399
38,400
38,401
38,402
38,403
38,404
38,405
38,406
38,407
38,408
38,409
38,410
39,411
39,412
39,413
39,414
39,415
39,416
39,417
39,418
39,419
39,420
39,421
39,422
39,423
39,424
39,425
39,426
39,427
39,428
39,429
39,430
39,431
39,432
39,433
39,434
39,435
40,436
40,437
40,438
40,439
40,440
40,441
40,442
40,443
40,444
40,445
40,446
40,447
40,448
40,449
40,450
40,451
40,452
40,453
40,454
40,455
40,456
40,457
40,458
40,459
40,460
40,461
40,462
40,463
40,464
40,465
40,466
40,467
40,468
40,469
40,470
40,471
40,472
40,473
40,474
40,475
40,476
40,477
40,478
40,479
40,480
40,481
40,482
41,483
41,484
41,485
41,486
41,487
41,488
41,489
41,490
41,491
41,492
41,493
41,494
41,495
41,496
41,497
41,498
41,499
41,500
41,501
41,502
41,503
41,504
41,505
41,506
41,507
41,508
41,509
41,510
41,511
41,512
41,513
42,514
42,515
42,516
42,517
42,518
42,519
42,520
42,521
42,522
42,523
42,524
42,525
42,526
42,527
42,528
42,529
42,530
42,531
42,532
42,533
42,534
42,535
42,536
42,537
42,538
42,539
42,540
42,541
42,542
42,543
42,544
42,545
42,546
42,547
42,548
42,549
42,550
42,551
42,552
42,553
43,554
43,555
43,556
43,557
43,558
43,559
43,560
43,561
43,562
43,563
43,564
43,565
43,566
43,567
43,568
43,569
43,570
43,571
43,572
43,573
43,574
43,575
43,576
43,577
43,578
43,579
43,580
43,581
43,582
43,583
43,584
44,585
44,586
44,587
44,588
44,589
44,590
44,591
44,592
44,593
44,594
44,595
44,596
44,597
44,598
44,599
44,600
44,601
44,602
44,603
44,604
44,605
44,606
44,607
44,608
44,609
44,610
44,611
44,612
44,613
44,614
44,615
44,616
44,617
44,618
45,619
45,620
45,621
45,622
45,623
45,624
45,625
45,626
45,627
45,628
45,629
45,630
45,631
45,632
45,633
45,634
45,635
45,636
45,637
45,638
45,639
45,640
45,641
45,642
45,643
45,644
45,645
45,646
45,647
45,648
45,649
45,650
45,651
45,652
45,653
45,654
45,655
45,656
45,657
45,658
45,659
45,660
45,661
45,662
45,663
45,664
45,665
45,666
45,667
46,668
46,669
46,670
46,671
46,672
46,673
46,674
46,675
46,676
46,677
46,678
46,679
46,680
46,681
46,682
46,683
46,684
46,685
46,686
46,687
46,688
46,689
46,690
46,691
46,692
46,693
46,694
46,695
46,696
46,697
46,698
46,699
46,700
46,701
46,702
46,703
46,704
46,705
46,706
46,707
47,708
47,709
47,710
47,711
47,712
47,713
47,714
47,715
47,716
47,717
47,718
47,719
47,720
47,721
47,722
47,723
47,724
47,725
47,726
47,727
47,728
47,729
47,730
47,731
47,732
47,733
47,734
47,735
47,736
47,737
47,738
47,739
47,740
47,741
47,742
47,743
47,744
47,745
47,746
47,747
47,748
47,749
47,750
47,751
47,752
47,753
47,754
47,755
47,756
48,757
48,758
48,759
48,760
48,761
48,762
48,763
48,764
48,765
48,766
48,767
48,768
48,769
48,770
48,771
48,772
48,773
48,774
48,775
48,776
48,777
48,778
48,779
48,780
48,781
48,782
48,783
48,784
48,785
48,786
48,787
48,788
48,789
48,790
48,791
49,792
49,793
49,794
49,795
49,796
49,797
49,798
49,799
49,800
49,801
49,802
49,803
49,804
49,805
49,806
49,807
49,808
49,809
49,810
49,811
49,812
49,813
49,814
49,815
49,816
49,817
49,818
49,819
49,820
49,821
49,822
49,823
49,824
49,825
49,826
49,827
49,828
49,829
49,830
49,831
49,832
49,833
49,834
49,835
49,836
49,837
49,838
50,839
50,840
50,841
50,842
50,843
50,844
50,845
50,846
50,847
50,848
50,849
50,850
50,851
50,852
50,853
50,854
50,855
50,856
50,857
50,858
50,859
50,860
50,861
50,862
50,863
50,864
50,865
50,866
50,867
50,868
50,869
50,870
50,871
50,872
50,873
50,874
50,875
50,876
50,877
50,878
50,879
50,880
50,881
50,882
50,883
50,884
50,885
50,886
50,887
50,888
50,889
50,890
50,891
50,892
50,893
50,894
50,895
50,896
50,897
50,898
50,899
50,900
50,901
50,902
50,903
50,904
50,905
50,906
51,907
51,908
51,909
51,910
51,911
51,912
51,913
51,914
51,915
51,916
51,917
51,918
51,919
51,920
51,921
51,922
51,923
51,924
51,925
51,926
51,927
51,928
51,929
51,930
51,931
51,932
51,933
51,934
51,935
51,936
51,937
51,938
51,939
51,940
51,941
51,942
51,943
51,944
51,945
51,946
51,947
51,948
51,949
51,950
51,951
52,952
52,953
52,954
52,955
52,956
52,957
52,958
52,959
52,960
52,961
52,962
52,963
52,964
52,965
52,966
52,967
52,968
52,969
52,970
52,971
52,972
52,973
52,974
52,975
52,976
52,977
52,978
52,979
52,980
52,981
52,982
52,983
52,984
52,985
52,986
52,987
52,988
52,989
52,990
52,991
53,992
53,993
53,994
53,995
53,996
53,997
53,998
53,999
53,1000
53,1001
53,1002
53,1003
53,1004
53,1005
53,1006
53,1007
53,1008
53,1009
53,1010
53,1011
53,1012
53,1013
53,1014
53,1015
53,1016
53,1017
53,1018
53,1019
53,1020
53,1021
53,1022
53,1023
53,1024
54,1025
54,1026
54,1027
54,1028
54,1029
54,1030
54,1031
54,1032
54,1033
54,1034
54,1035
54,1036
54,1037
54,1038
54,1039
54,1040
54,1041
54,1042
54,1043
54,1044
54,1045
54,1046
54,1047
54,1048
54,1049
54,1050
54,1051
54,1052
54,1053
54,1054
54,1055
54,1056
54,1057
54,1058
54,1059
54,1060
54,1061
54,1062
54,1063
55,1064
55,1065
